Site,bucket_name,bucket_position,tow,ring_size_mm,washer_type,ring_type,count,scallop_shell_height_mm,predicted_mw_g
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,91.92,14.8
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,88.39,13.2
West Point,BUCKET10_26,10,26,82.6,R,82.6R,1,106.65,23.0
West Point,BUCKET10_26,10,26,82.6,R,82.6R,1,72.83,7.5
West Point,BUCKET10_26,10,26,82.6,R,82.6R,1,98.03,17.9
West Point,BUCKET10_26,10,26,82.6,R,82.6R,1,87.51,12.8
West Point,BUCKET10_26,10,26,82.6,R,82.6R,1,73.75,7.8
West Point,BUCKET10_26,10,26,82.6,R,82.6R,1,98.61,18.3
West Point,BUCKET10_26,10,26,82.6,R,82.6R,1,84.94,11.8
West Point,BUCKET10_26,10,26,82.6,R,82.6R,1,100.46,19.3
West Point,BUCKET10_26,10,26,82.6,R,82.6R,1,94.47,16.1
West Point,BUCKET10_26,10,26,82.6,R,82.6R,1,76.73,8.7
West Point,BUCKET10_26,10,26,82.6,R,82.6R,1,68.63,6.3
West Point,BUCKET10_27,10,27,82.6,R,82.6R,1,89.9,13.9
West Point,BUCKET10_27,10,27,82.6,R,82.6R,1,79.24,9.6
West Point,BUCKET10_27,10,27,82.6,R,82.6R,1,85.9,12.2
West Point,BUCKET10_27,10,27,82.6,R,82.6R,1,78.6,9.4
West Point,BUCKET10_27,10,27,82.6,R,82.6R,1,76.3,8.6
West Point,BUCKET10_28,10,28,82.6,R,82.6R,1,102.1,20.2
West Point,BUCKET10_28,10,28,82.6,R,82.6R,1,98.98,18.5
West Point,BUCKET10_28,10,28,82.6,R,82.6R,1,104.93,21.9
West Point,BUCKET10_28,10,28,82.6,R,82.6R,1,92.84,15.3
West Point,BUCKET10_28,10,28,82.6,R,82.6R,1,90.57,14.2
West Point,BUCKET10_28,10,28,82.6,R,82.6R,1,87.47,12.8
West Point,BUCKET10_28,10,28,82.6,R,82.6R,1,87.85,13.0
West Point,BUCKET10_28,10,28,82.6,R,82.6R,1,78.96,9.5
West Point,BUCKET10_28,10,28,82.6,R,82.6R,1,80.56,10.1
West Point,BUCKET10_28,10,28,82.6,R,82.6R,1,80.02,9.9
West Point,BUCKET10_28,10,28,82.6,R,82.6R,1,79.11,9.5
West Point,BUCKET10_28,10,28,82.6,R,82.6R,1,65.97,5.6
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,106.49,22.9
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,93.22,15.5
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,92.76,15.2
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,90.72,14.3
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,73.77,7.8
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,91.48,14.6
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,102.92,20.7
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,93.39,15.6
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,97.21,17.5
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,83.25,11.1
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,83.47,11.2
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,89.04,13.5
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,91.23,14.5
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,84.58,11.6
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,84.27,11.5
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,81.54,10.4
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,64.16,5.2
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,90.33,14.1
West Point,BUCKET10_29,10,29,82.6,R,82.6R,1,73.27,7.6
West Point,BUCKET10_3,10,3,82.6,R,82.6R,1,94.61,16.2
West Point,BUCKET10_3,10,3,82.6,R,82.6R,1,88.51,13.3
West Point,BUCKET10_3,10,3,82.6,R,82.6R,1,93.58,15.6
West Point,BUCKET10_3,10,3,82.6,R,82.6R,1,91.15,14.5
West Point,BUCKET10_3,10,3,82.6,R,82.6R,1,90.27,14.1
West Point,BUCKET10_3,10,3,82.6,R,82.6R,1,89.63,13.8
West Point,BUCKET10_3,10,3,82.6,R,82.6R,1,91.5,14.6
West Point,BUCKET10_30,10,30,82.6,R,82.6R,1,90.92,14.4
West Point,BUCKET10_30,10,30,82.6,R,82.6R,1,101.23,19.7
West Point,BUCKET10_30,10,30,82.6,R,82.6R,1,99.09,18.5
West Point,BUCKET10_30,10,30,82.6,R,82.6R,1,91.41,14.6
West Point,BUCKET10_30,10,30,82.6,R,82.6R,1,111.69,26.3
West Point,BUCKET10_30,10,30,82.6,R,82.6R,1,91.33,14.6
West Point,BUCKET10_30,10,30,82.6,R,82.6R,1,88.93,13.5
West Point,BUCKET10_30,10,30,82.6,R,82.6R,1,90.45,14.2
West Point,BUCKET10_30,10,30,82.6,R,82.6R,1,98.75,18.3
West Point,BUCKET10_31,10,31,82.6,R,82.6R,1,112.05,26.6
West Point,BUCKET10_31,10,31,82.6,R,82.6R,1,115.01,28.7
West Point,BUCKET10_31,10,31,82.6,R,82.6R,1,102.97,20.7
West Point,BUCKET10_32,10,32,82.6,R,82.6R,1,93.58,15.6
West Point,BUCKET10_32,10,32,82.6,R,82.6R,1,96.15,16.9
West Point,BUCKET10_32,10,32,82.6,R,82.6R,1,103.33,21.0
West Point,BUCKET10_32,10,32,82.6,R,82.6R,1,95.33,16.5
West Point,BUCKET10_32,10,32,82.6,R,82.6R,1,83.27,11.1
West Point,BUCKET10_32,10,32,82.6,R,82.6R,1,78.76,9.4
West Point,BUCKET10_32,10,32,82.6,R,82.6R,1,99.94,19.0
West Point,BUCKET10_32,10,32,82.6,R,82.6R,1,101.8,20.1
West Point,BUCKET10_32,10,32,82.6,R,82.6R,1,87.92,13.0
West Point,BUCKET10_33,10,33,82.6,R,82.6R,1,99.08,18.5
West Point,BUCKET10_33,10,33,82.6,R,82.6R,1,91.77,14.8
West Point,BUCKET10_33,10,33,82.6,R,82.6R,1,87.22,12.7
West Point,BUCKET10_34,10,34,82.6,R,82.6R,1,88.93,13.5
West Point,BUCKET10_34,10,34,82.6,R,82.6R,1,97.52,17.7
West Point,BUCKET10_34,10,34,82.6,R,82.6R,1,89.61,13.8
West Point,BUCKET10_35,10,35,82.6,R,82.6R,1,88.02,13.1
West Point,BUCKET10_35,10,35,82.6,R,82.6R,1,80.36,10.0
West Point,BUCKET10_35,10,35,82.6,R,82.6R,1,79.71,9.8
West Point,BUCKET10_35,10,35,82.6,R,82.6R,1,75.41,8.3
West Point,BUCKET10_35,10,35,82.6,R,82.6R,1,86.89,12.6
West Point,BUCKET10_35,10,35,82.6,R,82.6R,1,67.1,5.9
West Point,BUCKET10_35,10,35,82.6,R,82.6R,1,100.19,19.1
West Point,BUCKET10_35,10,35,82.6,R,82.6R,1,92.5,15.1
West Point,BUCKET10_35,10,35,82.6,R,82.6R,1,71.28,7.0
West Point,BUCKET10_35,10,35,82.6,R,82.6R,1,69.59,6.5
West Point,BUCKET10_35,10,35,82.6,R,82.6R,1,66.67,5.8
West Point,BUCKET10_36,10,36,82.6,R,82.6R,1,83.28,11.1
West Point,BUCKET10_36,10,36,82.6,R,82.6R,1,88.43,13.2
West Point,BUCKET10_36,10,36,82.6,R,82.6R,1,93.24,15.5
West Point,BUCKET10_36,10,36,82.6,R,82.6R,1,86.96,12.6
West Point,BUCKET10_36,10,36,82.6,R,82.6R,1,86.77,12.5
West Point,BUCKET10_36,10,36,82.6,R,82.6R,1,79.51,9.7
West Point,BUCKET10_36,10,36,82.6,R,82.6R,1,74.79,8.1
West Point,BUCKET10_36,10,36,82.6,R,82.6R,1,74.97,8.1
West Point,BUCKET10_36,10,36,82.6,R,82.6R,1,87.72,12.9
West Point,BUCKET10_36,10,36,82.6,R,82.6R,1,83.29,11.1
West Point,BUCKET10_37,10,37,82.6,R,82.6R,1,99.26,18.6
West Point,BUCKET10_37,10,37,82.6,R,82.6R,1,77.73,9.1
West Point,BUCKET10_37,10,37,82.6,R,82.6R,1,84.72,11.7
West Point,BUCKET10_37,10,37,82.6,R,82.6R,1,82.97,11.0
West Point,BUCKET10_39,10,39,82.6,R,82.6R,1,93.41,15.6
West Point,BUCKET10_39,10,39,82.6,R,82.6R,1,88.75,13.4
West Point,BUCKET10_39,10,39,82.6,R,82.6R,1,98.01,17.9
West Point,BUCKET10_39,10,39,82.6,R,82.6R,1,89.64,13.8
West Point,BUCKET10_39,10,39,82.6,R,82.6R,1,85.18,11.9
West Point,BUCKET10_39,10,39,82.6,R,82.6R,1,89.98,13.9
West Point,BUCKET10_39,10,39,82.6,R,82.6R,1,98.78,18.4
West Point,BUCKET10_39,10,39,82.6,R,82.6R,1,93.93,15.8
West Point,BUCKET10_39,10,39,82.6,R,82.6R,1,102.44,20.4
West Point,BUCKET10_39,10,39,82.6,R,82.6R,1,73,7.5
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,91.01,14.4
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,90.12,14.0
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,96.62,17.2
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,92.74,15.2
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,88.35,13.2
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,88.12,13.1
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,83.93,11.4
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,82.12,10.7
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,104.21,21.5
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,100.76,19.5
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,94.87,16.3
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,90.25,14.1
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,97.02,17.4
West Point,BUCKET10_4,10,4,82.6,R,82.6R,1,80.29,10.0
West Point,BUCKET10_40,10,40,82.6,R,82.6R,1,102.1,20.2
West Point,BUCKET10_40,10,40,82.6,R,82.6R,1,96.51,17.1
West Point,BUCKET10_40,10,40,82.6,R,82.6R,1,96.05,16.9
West Point,BUCKET10_40,10,40,82.6,R,82.6R,1,83.3,11.1
West Point,BUCKET10_40,10,40,82.6,R,82.6R,1,93.25,15.5
West Point,BUCKET10_40,10,40,82.6,R,82.6R,1,89.46,13.7
West Point,BUCKET10_40,10,40,82.6,R,82.6R,1,96.37,17.1
West Point,BUCKET10_40,10,40,82.6,R,82.6R,1,92.92,15.3
West Point,BUCKET10_40,10,40,82.6,R,82.6R,1,95.5,16.6
West Point,BUCKET10_41,10,41,82.6,R,82.6R,1,99.14,18.5
West Point,BUCKET10_41,10,41,82.6,R,82.6R,1,105.67,22.4
West Point,BUCKET10_41,10,41,82.6,R,82.6R,1,95.31,16.5
West Point,BUCKET10_41,10,41,82.6,R,82.6R,1,110.54,25.6
West Point,BUCKET10_41,10,41,82.6,R,82.6R,1,104.49,21.7
West Point,BUCKET10_41,10,41,82.6,R,82.6R,1,106.27,22.8
West Point,BUCKET10_41,10,41,82.6,R,82.6R,1,92.73,15.2
West Point,BUCKET10_41,10,41,82.6,R,82.6R,1,93.14,15.4
West Point,BUCKET10_41,10,41,82.6,R,82.6R,1,98.44,18.2
West Point,BUCKET10_41,10,41,82.6,R,82.6R,1,79.8,9.8
West Point,BUCKET10_41,10,41,82.6,R,82.6R,1,95.9,16.8
West Point,BUCKET10_41,10,41,82.6,R,82.6R,1,81.25,10.3
West Point,BUCKET10_42,10,42,82.6,R,82.6R,1,101.51,19.9
West Point,BUCKET10_42,10,42,82.6,R,82.6R,1,99.34,18.7
West Point,BUCKET10_42,10,42,82.6,R,82.6R,1,90.9,14.4
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,99.16,18.6
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,94.66,16.2
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,98.17,18.0
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,86.04,12.2
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,93.39,15.6
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,94.05,15.9
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,86.25,12.3
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,79,9.5
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,90.05,14.0
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,83.16,11.1
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,102.95,20.7
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,87.28,12.7
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,67.08,5.9
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,95.92,16.8
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,83.78,11.3
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,69.3,6.5
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,75.01,8.2
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,98.32,18.1
West Point,BUCKET10_43,10,43,82.6,R,82.6R,1,66.43,5.7
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,108.8,24.4
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,96.82,17.3
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,69.33,6.5
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,99.24,18.6
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,99.87,19.0
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,93.34,15.5
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,95.55,16.6
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,69.61,6.5
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,62.94,4.9
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,80.59,10.1
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,65.65,5.5
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,70.07,6.7
West Point,BUCKET10_44,10,44,82.6,R,82.6R,1,73.29,7.6
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,100.45,19.3
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,86.6,12.5
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,94.16,15.9
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,94.28,16.0
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,91.49,14.6
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,86.53,12.4
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,84.48,11.6
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,91.91,14.8
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,86.32,12.3
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,98.93,18.4
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,86.95,12.6
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,83.27,11.1
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,76.28,8.6
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,78.12,9.2
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,88.74,13.4
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,85.31,11.9
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,92.1,14.9
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,67.25,5.9
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,66.73,5.8
West Point,BUCKET10_45,10,45,82.6,R,82.6R,1,47.33,2.1
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,95.59,16.7
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,99.7,18.9
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,100.17,19.1
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,87.95,13.0
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,106.4,22.8
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,105.95,22.6
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,104.21,21.5
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,100.34,19.2
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,106.29,22.8
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,90.89,14.4
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,92.74,15.2
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,108.7,24.3
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,91.88,14.8
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,89.86,13.9
West Point,BUCKET10_46,10,46,82.6,R,82.6R,1,83.39,11.1
