Site,bucket_name,bucket_position,tow,ring_size_mm,washer_type,ring_type,count,scallop_shell_height_mm,predicted_mw_g
West Point,BUCKET10_1,10,1,82.6,R,82.6R,1,95.74,16.7
West Point,BUCKET10_1,10,1,82.6,R,82.6R,1,103.01,20.8
West Point,BUCKET10_1,10,1,82.6,R,82.6R,1,84.62,11.6
West Point,BUCKET10_1,10,1,82.6,R,82.6R,1,92.46,15.1
West Point,BUCKET10_1,10,1,82.6,R,82.6R,1,88.79,13.4
West Point,BUCKET10_1,10,1,82.6,R,82.6R,1,91.09,14.5
West Point,BUCKET10_10,10,10,82.6,R,82.6R,1,94.94,16.3
West Point,BUCKET10_10,10,10,82.6,R,82.6R,1,91.66,14.7
West Point,BUCKET10_10,10,10,82.6,R,82.6R,1,100.76,19.5
West Point,BUCKET10_10,10,10,82.6,R,82.6R,1,87.71,12.9
West Point,BUCKET10_10,10,10,82.6,R,82.6R,1,86.71,12.5
West Point,BUCKET10_11,10,11,82.6,R,82.6R,1,95.25,16.5
West Point,BUCKET10_11,10,11,82.6,R,82.6R,1,83.73,11.3
West Point,BUCKET10_11,10,11,82.6,R,82.6R,1,99.98,19.0
West Point,BUCKET10_11,10,11,82.6,R,82.6R,1,89.02,13.5
West Point,BUCKET10_11,10,11,82.6,R,82.6R,1,89.5,13.7
West Point,BUCKET10_12,10,12,82.6,R,82.6R,1,109.48,24.8
West Point,BUCKET10_12,10,12,82.6,R,82.6R,1,115.98,29.4
West Point,BUCKET10_12,10,12,82.6,R,82.6R,1,99.04,18.5
West Point,BUCKET10_12,10,12,82.6,R,82.6R,1,93.71,15.7
West Point,BUCKET10_13,10,13,82.6,R,82.6R,1,108.34,24.1
West Point,BUCKET10_13,10,13,82.6,R,82.6R,1,95.94,16.8
West Point,BUCKET10_13,10,13,82.6,R,82.6R,1,99.97,19.0
West Point,BUCKET10_14,10,14,82.6,R,82.6R,1,97.27,17.5
West Point,BUCKET10_14,10,14,82.6,R,82.6R,1,98.62,18.3
West Point,BUCKET10_14,10,14,82.6,R,82.6R,1,106.38,22.8
West Point,BUCKET10_14,10,14,82.6,R,82.6R,1,91.94,14.9
West Point,BUCKET10_14,10,14,82.6,R,82.6R,1,93.04,15.4
West Point,BUCKET10_14,10,14,82.6,R,82.6R,1,91.29,14.5
West Point,BUCKET10_14,10,14,82.6,R,82.6R,1,93.1,15.4
West Point,BUCKET10_14,10,14,82.6,R,82.6R,1,88.12,13.1
West Point,BUCKET10_14,10,14,82.6,R,82.6R,1,69.73,6.6
West Point,BUCKET10_14,10,14,82.6,R,82.6R,1,95.73,16.7
West Point,BUCKET10_14,10,14,82.6,R,82.6R,1,90.33,14.1
West Point,BUCKET10_14,10,14,82.6,R,82.6R,1,94.45,16.1
West Point,BUCKET10_15,10,15,82.6,R,82.6R,1,98.13,18.0
West Point,BUCKET10_15,10,15,82.6,R,82.6R,1,90.01,14.0
West Point,BUCKET10_15,10,15,82.6,R,82.6R,1,96.95,17.4
West Point,BUCKET10_15,10,15,82.6,R,82.6R,1,92.62,15.2
West Point,BUCKET10_15,10,15,82.6,R,82.6R,1,66.8,5.8
West Point,BUCKET10_15,10,15,82.6,R,82.6R,1,102.9,20.7
West Point,BUCKET10_15,10,15,82.6,R,82.6R,1,90.99,14.4
West Point,BUCKET10_15,10,15,82.6,R,82.6R,1,98.84,18.4
West Point,BUCKET10_16,10,16,82.6,R,82.6R,1,92.72,15.2
West Point,BUCKET10_16,10,16,82.6,R,82.6R,1,107.54,23.6
West Point,BUCKET10_16,10,16,82.6,R,82.6R,1,87.64,12.9
West Point,BUCKET10_16,10,16,82.6,R,82.6R,1,90.04,14.0
West Point,BUCKET10_16,10,16,82.6,R,82.6R,1,99.08,18.5
West Point,BUCKET10_16,10,16,82.6,R,82.6R,1,84.88,11.7
West Point,BUCKET10_16,10,16,82.6,R,82.6R,1,99.32,18.6
West Point,BUCKET10_16,10,16,82.6,R,82.6R,1,92.65,15.2
West Point,BUCKET10_16,10,16,82.6,R,82.6R,1,85.68,12.1
West Point,BUCKET10_17,10,17,82.6,R,82.6R,1,96.1,16.9
West Point,BUCKET10_17,10,17,82.6,R,82.6R,1,92.87,15.3
West Point,BUCKET10_17,10,17,82.6,R,82.6R,1,99.23,18.6
West Point,BUCKET10_17,10,17,82.6,R,82.6R,1,80.9,10.2
West Point,BUCKET10_17,10,17,82.6,R,82.6R,1,80.1,9.9
West Point,BUCKET10_17,10,17,82.6,R,82.6R,1,72.88,7.5
West Point,BUCKET10_17,10,17,82.6,R,82.6R,1,104.27,21.5
West Point,BUCKET10_17,10,17,82.6,R,82.6R,1,93.83,15.8
West Point,BUCKET10_17,10,17,82.6,R,82.6R,1,73.12,7.6
West Point,BUCKET10_17,10,17,82.6,R,82.6R,1,75.89,8.4
West Point,BUCKET10_18,10,18,82.6,R,82.6R,1,99.11,18.5
West Point,BUCKET10_18,10,18,82.6,R,82.6R,1,93.41,15.6
West Point,BUCKET10_18,10,18,82.6,R,82.6R,1,74.97,8.1
West Point,BUCKET10_18,10,18,82.6,R,82.6R,1,79.33,9.6
West Point,BUCKET10_18,10,18,82.6,R,82.6R,1,99.63,18.8
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,106.53,22.9
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,82.97,11.0
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,68.32,6.2
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,93.61,15.7
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,91.48,14.6
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,73.98,7.8
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,99.64,18.8
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,94.57,16.1
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,84.89,11.7
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,84.39,11.5
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,73.85,7.8
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,77.11,8.8
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,79.62,9.7
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,96.66,17.2
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,87.78,13.0
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,80.3,10.0
West Point,BUCKET10_19,10,19,82.6,R,82.6R,1,58.42,3.9
West Point,BUCKET10_2,10,2,82.6,R,82.6R,1,97.42,17.6
West Point,BUCKET10_2,10,2,82.6,R,82.6R,1,90.78,14.3
West Point,BUCKET10_2,10,2,82.6,R,82.6R,1,104.51,21.7
West Point,BUCKET10_2,10,2,82.6,R,82.6R,1,91.67,14.7
West Point,BUCKET10_2,10,2,82.6,R,82.6R,1,86.28,12.3
West Point,BUCKET10_2,10,2,82.6,R,82.6R,1,94.15,15.9
West Point,BUCKET10_2,10,2,82.6,R,82.6R,1,85.98,12.2
West Point,BUCKET10_2,10,2,82.6,R,82.6R,1,37.43,1.1
West Point,BUCKET10_20,10,20,82.6,R,82.6R,1,115.5,29.1
West Point,BUCKET10_20,10,20,82.6,R,82.6R,1,95.88,16.8
West Point,BUCKET10_20,10,20,82.6,R,82.6R,1,98.1,18.0
West Point,BUCKET10_20,10,20,82.6,R,82.6R,1,103.85,21.3
West Point,BUCKET10_20,10,20,82.6,R,82.6R,1,104.41,21.6
West Point,BUCKET10_20,10,20,82.6,R,82.6R,1,98.39,18.1
West Point,BUCKET10_20,10,20,82.6,R,82.6R,1,94.5,16.1
West Point,BUCKET10_20,10,20,82.6,R,82.6R,1,93.95,15.8
West Point,BUCKET10_20,10,20,82.6,R,82.6R,1,101.83,20.1
West Point,BUCKET10_21,10,21,82.6,R,82.6R,1,107.26,23.4
West Point,BUCKET10_21,10,21,82.6,R,82.6R,1,111.06,25.9
West Point,BUCKET10_21,10,21,82.6,R,82.6R,1,87.97,13.0
West Point,BUCKET10_21,10,21,82.6,R,82.6R,1,78.14,9.2
West Point,BUCKET10_21,10,21,82.6,R,82.6R,1,79.97,9.9
West Point,BUCKET10_22,10,22,82.6,R,82.6R,1,98.8,18.4
West Point,BUCKET10_22,10,22,82.6,R,82.6R,1,99.6,18.8
West Point,BUCKET10_22,10,22,82.6,R,82.6R,1,96.17,17.0
West Point,BUCKET10_22,10,22,82.6,R,82.6R,1,96.29,17.0
West Point,BUCKET10_23,10,23,82.6,R,82.6R,1,102.74,20.6
West Point,BUCKET10_23,10,23,82.6,R,82.6R,1,97.71,17.8
West Point,BUCKET10_23,10,23,82.6,R,82.6R,1,85.06,11.8
West Point,BUCKET10_23,10,23,82.6,R,82.6R,1,102.28,20.3
West Point,BUCKET10_23,10,23,82.6,R,82.6R,1,97.56,17.7
West Point,BUCKET10_23,10,23,82.6,R,82.6R,1,88.95,13.5
West Point,BUCKET10_23,10,23,82.6,R,82.6R,1,79.68,9.7
West Point,BUCKET10_24,10,24,82.6,R,82.6R,1,94.84,16.3
West Point,BUCKET10_24,10,24,82.6,R,82.6R,1,109.63,24.9
West Point,BUCKET10_24,10,24,82.6,R,82.6R,1,101.59,19.9
West Point,BUCKET10_24,10,24,82.6,R,82.6R,1,88.17,13.1
West Point,BUCKET10_24,10,24,82.6,R,82.6R,1,92.1,14.9
West Point,BUCKET10_24,10,24,82.6,R,82.6R,1,86.45,12.4
West Point,BUCKET10_24,10,24,82.6,R,82.6R,1,102.28,20.3
West Point,BUCKET10_24,10,24,82.6,R,82.6R,1,78.05,9.2
West Point,BUCKET10_24,10,24,82.6,R,82.6R,1,85.49,12.0
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,97.27,17.5
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,101.51,19.9
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,91.55,14.7
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,104.66,21.8
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,99.9,19.0
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,94.23,16.0
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,109.14,24.6
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,101.8,20.1
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,101.68,20.0
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,95.79,16.8
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,89.81,13.9
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,69.62,6.6
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,94.05,15.9
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,88.2,13.1
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,95.02,16.4
West Point,BUCKET10_25,10,25,82.6,R,82.6R,1,72.23,7.3
