date,site_bed,fisher_name,tow,lat_start,long_start,lat_end,long_end,depth_ft,direction,speed_kts,towing_time_min,lobster,depth_m,number_scallop
2018-05-02,cape tormentine,Todd O'Hanley,40,46.17481667,-63.71591667,46.173,-63.7115,82.5,122,2.3,5,2,25.1,272
2018-05-02,cape tormentine,Todd O'Hanley,41,46.17086667,-63.71196667,46.17398333,-63.7149,78.3,314,2.5,5,2,23.9,252
2018-05-02,cape tormentine,Todd O'Hanley,42,46.17595,-63.71541667,46.1755,-63.71063333,87.3,101,2.1,5,2,26.6,194
2018-05-03,cape tormentine,Todd O'Hanley,43,46.18538333,-63.68486667,46.17776667,-63.68126667,69.7,143,2.5,5,0,21.2,407
2018-05-03,cape tormentine,Todd O'Hanley,44,46.18778333,-63.67903333,46.1848,-63.67625,61.7,148,2.8,5,5,18.8,267
2018-05-03,cape tormentine,Todd O'Hanley,45,46.18935,-63.67236667,46.1861,-63.66895,57.1,147,2.9,5,3,17.4,138
2018-05-03,cape tormentine,Todd O'Hanley,46,46.18475,-63.66976667,46.18166667,-63.66703333,61.8,150,2.8,5,3,18.8,204
2018-05-03,cape tormentine,Todd O'Hanley,47,46.18083333,-63.66835,46.1775,-63.66528333,61.8,148,3,5,0,18.8,126
2018-05-03,cape tormentine,Todd O'Hanley,48,46.17475,-63.66405,46.17716667,-63.66775,62.6,313,2.1,5,1,19.1,222
2018-05-03,cape tormentine,Todd O'Hanley,49,46.1742,-63.66525,46.171,-63.66113333,62.8,137,3,5,3,19.1,285
2018-05-03,cape tormentine,Todd O'Hanley,50,46.16965,-63.65881667,46.16625,-63.65486667,63.2,140,2.9,5,1,19.3,142
2018-05-03,cape tormentine,Todd O'Hanley,51,46.16875,-63.65176667,46.16516667,-63.64926667,65.5,153,3,5,0,20.0,169
2018-05-03,cape tormentine,Todd O'Hanley,52,46.16043333,-63.65623333,46.16268333,-63.65925,65.3,299,2,5,3,19.9,241
2018-05-03,cape tormentine,Todd O'Hanley,53,46.15736667,-63.6635,46.15966667,-63.6658,68.7,323,2,5,3,20.9,123
2018-05-03,cape tormentine,Todd O'Hanley,54,46.16086667,-63.66793333,46.16373333,-63.67055,70,340,2.1,5,2,21.3,151
2018-05-03,cape tormentine,Todd O'Hanley,55,46.16386667,-63.67163333,46.16663333,-63.67423333,67.5,329,2,5,1,20.6,131
